stop_id,stop_name,stop_lat,stop_lon,zone_id
98304,98304,47.55920115626235,-121.85327525237862,3
65545,65545,47.69736340829761,-122.13217658491664,3
65555,65555,47.69414344512614,-122.38757262542187,4
163860,163860,47.16860659654641,-122.60293760711286,5
131095,131095,47.36138911673672,-122.02092683346028,3
65561,65561,47.69693884649467,-122.16464095739906,3
65564,65564,47.694249689858474,-122.376799414081,4
98333,98333,47.55425534573023,-122.28952159511591,4
65572,65572,47.69424957978953,-122.37591402183773,4
131109,131109,47.35794908236894,-122.30918983105471,3
32806,32806,47.870625834757014,-122.29545403611938,2
163881,163881,47.16851524747232,-122.59858523998429,5
163884,163884,47.17023588242707,-122.48368258376401,5
65582,65582,47.69017784535186,-122.64966054143085,6
185693,185693,47.5716778522095,-122.36243460733583,4
131121,131121,47.35794560621784,-122.3047595290203,3
98356,98356,47.553440047566646,-122.3370259032764,4
163849,163849,47.16912699320114,-122.5743295357783,5
163896,163896,47.17416573067508,-122.18402097553586,5
163900,163900,47.17023399311606,-122.47924028957249,5
98367,98367,47.553425901344596,-122.33421547274017,4
131140,131140,47.357900880796585,-122.29980207284407,3
163911,163911,47.17021728705032,-122.47500615503915,5
98376,98376,47.553781442628726,-122.30287056488308,4
98379,98379,47.553770474246136,-122.3025836308026,4
98380,98380,47.55678585275724,-122.04624921382161,3
98381,98381,47.5533993278574,-122.32955127788267,4
98383,98383,47.554756099808,-122.22159194186942,3
131152,131152,47.35786767070387,-122.29765701954769,3
163923,163923,47.17020384259441,-122.47170310148886,5
163929,163929,47.17019086756011,-122.46840550739996,5
65630,65630,47.694227782176014,-122.35801977667262,4
131167,131167,47.35782223575123,-122.29471906650055,3
65635,65635,47.69421683255526,-122.35533941304435,4
163943,163943,47.17017986483707,-122.46564513171037,5
131184,131184,47.35778181027908,-122.29210004112433,3
98421,98421,47.55335102457478,-122.32100454136842,4
131190,131190,47.35354268506602,-122.58925356224788,5
98423,98423,47.55344273820885,-122.3134729789676,4
163963,163963,47.17018130992759,-122.45941222635308,5
163968,163968,47.17018622523694,-122.45783924145915,5
131204,131204,47.35784840004545,-122.28121849331905,3
163974,163974,47.170190685569956,-122.4552082609506,5
32904,32904,47.87105777358805,-122.21738562566424,2
65676,65676,47.69418568609099,-122.3445650805865,4
32933,32933,47.87158143869797,-122.15633583901877,2
32940,32940,47.87166269237609,-122.14496883499564,2
65712,65712,47.69413986360301,-122.33647970758794,4
54643,54643,47.7518760115406,-122.54176864411158,6
131265,131265,47.35951764140274,-122.12299473751287,3
164035,164035,47.170086644546465,-122.44334921115998,5
65754,65754,47.69351484646203,-122.36067073808184,4
98523,98523,47.5540659775657,-122.22160190213388,3
163877,163877,47.169814080279956,-122.51558656649965,5
164064,164064,47.1700521335799,-122.4340754445627,5
65762,65762,47.69401182969444,-122.3175983826211,4
65771,65771,47.69314431830533,-122.37658572462647,4
98554,98554,47.55333638979548,-122.2682330906644,4
98575,98575,47.54820150832552,-122.62098893832169,6003
131346,131346,47.356888462091156,-122.30458807518279,3
164118,164118,47.168365302757174,-122.5261542958916,5
65815,65815,47.69505769175498,-122.21012629246098,3
98587,98587,47.55489478440671,-122.12292429056292,3
164127,164127,47.16840611435105,-122.52027400318427,5
16433,16433,48.05796251963868,-122.17685641992817,1
164144,164144,47.16843161917195,-122.5155408266804,5
65588,65588,47.69728244208848,-122.12754000896685,3
131389,131389,47.35906277662642,-122.10596143260446,3
65865,65865,47.693821071146296,-122.29062225617764,4
98635,98635,47.55547960830788,-122.04534226888029,3
65870,65870,47.69281272726364,-122.36600526706003,4
131414,131414,47.35653402406302,-122.30346393582072,3
164186,164186,47.166909662217314,-122.60296978558056,5
98658,98658,47.551903268524605,-122.3342161559566,4
98660,98660,47.55430727752221,-122.13899693863381,3
98661,98661,47.552081873759,-122.31975369019914,4
147516,147516,47.263203464131145,-122.45452890652575,5
120210,120210,47.422940045627655,-122.3200121000628,3
65907,65907,47.695042981000405,-122.17575920914031,3
65599,65599,47.694260076180456,-122.366014043441,4
65923,65923,47.69313334368942,-122.32303163332362,4
131467,131467,47.3579452637666,-122.16546187929299,3
98705,98705,47.55103794986279,-122.38168593760423,4
98708,98708,47.553811248705856,-122.161154608599,3
54681,54681,47.75621148654184,-122.20111056701597,3
65950,65950,47.69244896091796,-122.36066209715432,4
131487,131487,47.35799740516217,-122.15355874339528,3
131502,131502,47.3579977692942,-122.14955096609434,3
131503,131503,47.35799766341077,-122.14890772411832,3
98736,98736,47.55517444929722,-122.02053904438827,3
65969,65969,47.69241848053013,-122.3553206509231,4
65971,65971,47.693483951555145,-122.27300866881403,4
98740,98740,47.5473476251313,-122.6173089383893,6
164294,164294,47.1663273065301,-122.60296268183961,5
131527,131527,47.35798626643669,-122.14083989675866,3
65997,65997,47.69300240281282,-122.30275290392647,4
103843,103843,47.526419024989586,-122.39276048437708,4
92921,92921,47.5702645931315,-122.61384088444875,6
131545,131545,47.357962333407414,-122.1339685281641,3
131549,131549,47.358078873462034,-122.12300316180296,3
66014,66014,47.69309728054079,-122.29064041552182,4
66021,66021,47.69506058774485,-122.12659978578782,3
131558,131558,47.3581555613807,-122.11571060294227,3
185767,185767,47.59919796682431,-122.32977310846643,4
131583,131583,47.35905543517562,-122.02041169705579,3
131584,131584,47.35810827295404,-122.10739722826108,3
98822,98822,47.55030077524695,-122.38709082456002,4
98831,98831,47.55124597513831,-122.31349299551556,4
98833,98833,47.55291165707478,-122.17896373780881,3
33299,33299,47.86766364335377,-122.30057360186092,2
131616,131616,47.35545897620124,-122.31069131357647,3
66100,66100,47.69222120138673,-122.32302124520734,4
