trip_id,stop_id
1,76367
1,76671
1,76888
1,77729
1,78213
1,78646
1,79287
1,79611
1,80569
1,81133
1,81141
1,81391
1,81726
1,82553
1,82829
1,83312
1,83389
1,83529
1,84107
1,84634
1,85011
1,85609
2,76367
2,76671
2,76888
2,77729
2,78213
2,78646
2,79287
2,79611
2,80569
2,81133
2,81141
2,81391
2,81726
2,82553
2,82829
2,83312
2,83389
2,83529
2,84107
2,84634
2,85011
2,85609
3,76367
3,76671
3,76888
3,77729
3,78213
3,78646
3,79287
3,79611
3,80569
3,81133
3,81141
3,81391
3,81726
3,82553
3,82829
3,83312
3,83389
3,83529
3,84107
3,84634
3,85011
3,85609
4,76367
4,76671
4,76888
4,77729
4,78213
4,78646
4,79287
4,79611
4,80569
4,81133
4,81141
4,81391
4,81726
4,82553
4,82829
4,83312
4,83389
4,83529
4,84107
4,84634
4,85011
4,85609
5,76367
5,76671
5,76888
5,77729
5,78213
5,78646
5,79287
5,79611
5,80569
5,81133
5,81141
5,81391
5,81726
5,82553
5,82829
5,83312
5,83389
5,83529
5,84107
5,84634
5,85011
5,85609
6,76367
6,76671
6,76888
6,77729
6,78213
6,78646
6,79287
6,79611
6,80569
6,81133
6,81141
6,81391
6,81726
6,82553
6,82829
6,83312
6,83389
6,83529
6,84107
6,84634
6,85011
6,85609
7,76367
7,76671
7,76888
7,77729
7,78213
7,78646
7,79287
7,79611
7,80569
7,81133
7,81141
7,81391
7,81726
7,82553
7,82829
7,83312
7,83389
7,83529
7,84107
7,84634
7,85011
7,85609
8,76367
8,76671
8,76888
8,77729
8,78213
8,78646
8,79287
8,79611
8,80569
8,81133
8,81141
8,81391
8,81726
8,82553
8,82829
8,83312
8,83389
8,83529
8,84107
8,84634
8,85011
8,85609
9,76367
9,76671
9,76888
9,77729
9,78213
9,78646
9,79287
9,79611
9,80569
9,81133
9,81141
9,81391
9,81726
9,82553
9,82829
9,83312
9,83389
9,83529
9,84107
9,84634
9,85011
9,85609
10,76367
10,76671
10,76888
10,77729
10,78213
10,78646
10,79287
10,79611
10,80569
10,81133
10,81141
10,81391
10,81726
10,82553
10,82829
10,83312
10,83389
10,83529
10,84107
10,84634
10,85011
10,85609
11,76367
11,76671
11,76888
11,77729
11,78213
11,78646
11,79287
11,79611
11,80569
11,81133
11,81141
11,81391
11,81726
11,82553
11,82829
11,83312
11,83389
11,83529
11,84107
11,84634
11,85011
11,85609
12,76367
12,76671
12,76888
12,77729
12,78213
12,78646
12,79287
12,79611
12,80569
12,81133
12,81141
12,81391
12,81726
12,82553
12,82829
12,83312
12,83389
12,83529
12,84107
12,84634
12,85011
12,85609
13,76367
13,76671
13,76888
13,77729
13,78213
13,78646
13,79287
13,79611
13,80569
13,81133
13,81141
13,81391
13,81726
13,82553
13,82829
13,83312
13,83389
13,83529
13,84107
13,84634
13,85011
13,85609
14,76367
14,76671
14,76888
14,77729
14,78213
14,78646
14,79287
14,79611
14,80569
14,81133
14,81141
14,81391
14,81726
14,82553
14,82829
14,83312
14,83389
14,83529
14,84107
14,84634
14,85011
14,85609
15,85011
15,84634
15,84107
15,83648
15,83389
15,83566
15,83102
15,82038
15,81726
15,81391
15,81141
15,81133
15,80569
15,79611
15,78646
15,78213
15,77729
15,76888
15,76671
15,76204
16,85011
16,84634
16,84107
16,83648
16,83389
16,83566
16,83102
16,82038
16,81726
16,81391
16,81141
16,81133
16,80569
16,79611
16,78646
16,78213
16,77729
16,76888
16,76671
16,76204
17,85011
17,84634
17,84107
17,83648
17,83389
17,83566
17,83102
17,82038
17,81726
17,81391
17,81141
17,81133
17,80569
17,79611
17,78646
17,78213
17,77729
17,76888
17,76671
17,76204
18,85011
18,84634
18,84107
18,83648
18,83389
18,83566
18,83102
18,82038
18,81726
18,81391
18,81141
18,81133
18,80569
18,79611
18,78646
18,78213
18,77729
18,76888
18,76671
18,76204
19,85011
19,84634
19,84107
19,83648
19,83389
19,83566
19,83102
19,82038
19,81726
19,81391
19,81141
19,81133
19,80569
19,79611
19,78646
19,78213
19,77729
19,76888
19,76671
19,76204
20,85011
20,84634
20,84107
20,83648
20,83389
20,83566
20,83102
20,82038
20,81726
20,81391
20,81141
20,81133
20,80569
20,79611
20,78646
20,78213
20,77729
20,76888
20,76671
20,76204
21,85011
21,84634
21,84107
21,83648
21,83389
21,83566
21,83102
21,82038
21,81726
21,81391
21,81141
21,81133
21,80569
21,79611
21,78646
21,78213
21,77729
21,76888
21,76671
21,76204
22,85011
22,84634
22,84107
22,83648
22,83389
22,83566
22,83102
22,82038
22,81726
22,81391
22,81141
22,81133
22,80569
22,79611
22,78646
22,78213
22,77729
22,76888
22,76671
22,76204
23,85011
23,84634
23,84107
23,83648
23,83389
23,83566
23,83102
23,82038
23,81726
23,81391
23,81141
23,81133
23,80569
23,79611
23,78646
23,78213
23,77729
23,76888
23,76671
23,76204
24,85011
24,84634
24,84107
24,83648
24,83389
24,83566
24,83102
24,82038
24,81726
24,81391
24,81141
24,81133
24,80569
24,79611
24,78646
24,78213
24,77729
24,76888
24,76671
24,76204
25,85011
25,84634
25,84107
25,83648
25,83389
25,83566
25,83102
25,82038
25,81726
25,81391
25,81141
25,81133
25,80569
25,79611
25,78646
25,78213
25,77729
25,76888
25,76671
25,76204
26,85011
26,84634
26,84107
26,83648
26,83389
26,83566
26,83102
26,82038
26,81726
26,81391
26,81141
26,81133
26,80569
26,79611
26,78646
26,78213
26,77729
26,76888
26,76671
26,76204
27,85011
27,84634
27,84107
27,83648
27,83389
27,83566
27,83102
27,82038
27,81726
27,81391
27,81141
27,81133
27,80569
27,79611
27,78646
27,78213
27,77729
27,76888
27,76671
27,76204
28,76913
28,77749
28,77757
28,78662
28,78988
28,79631
28,79650
28,79652
28,79668
28,80195
28,80806
28,81040
28,81726
28,82553
28,82829
28,83312
28,83389
28,83529
28,84107
28,84634
28,85011
28,85609
29,76913
29,77749
29,77757
29,78662
29,78988
29,79631
29,79650
29,79652
29,79668
29,80195
29,80806
29,81040
29,81726
29,82553
29,82829
29,83312
29,83389
29,83529
29,84107
29,84634
29,85011
29,85609
30,76913
30,77749
30,77757
30,78662
30,78988
30,79631
30,79650
30,79652
30,79668
30,80195
30,80806
30,81040
30,81726
30,82553
30,82829
30,83312
30,83389
30,83529
30,84107
30,84634
30,85011
30,85609
31,76913
31,77749
31,77757
31,78662
31,78988
31,79631
31,79650
31,79652
31,79668
31,80195
31,80806
31,81040
31,81726
31,82553
31,82829
31,83312
31,83389
31,83529
31,84107
31,84634
31,85011
31,85609
32,76913
32,77749
32,77757
32,78662
32,78988
32,79631
32,79650
32,79652
32,79668
32,80195
32,80806
32,81040
32,81726
32,82553
32,82829
32,83312
32,83389
32,83529
32,84107
32,84634
32,85011
32,85609
33,76913
33,77749
33,77757
33,78662
33,78988
33,79631
33,79650
33,79652
33,79668
33,80195
33,80806
33,81040
33,81726
33,82553
33,82829
33,83312
33,83389
33,83529
33,84107
33,84634
33,85011
33,85609
34,76913
34,77749
34,77757
34,78662
34,78988
34,79631
34,79650
34,79652
34,79668
34,80195
34,80806
34,81040
34,81726
34,82553
34,82829
34,83312
34,83389
34,83529
34,84107
34,84634
34,85011
34,85609
35,76913
35,77749
35,77757
35,78662
35,78988
35,79631
35,79650
35,79652
35,79668
35,80195
35,80806
35,81040
35,81726
35,82553
35,82829
35,83312
35,83389
35,83529
35,84107
35,84634
