trip_id,arrival_time_min,departure_time_min,stop_id,stop_sequence,shape_dist_traveled,arrival_time,departure_time,stop_id_num,trip_id_num,original_travel_time,travel_time,travel_time_sec,dwell_time,dwell_time_sec,route_id,service_id,direction_id,shape_id,vehicle_name,seated_capacity,standing_capacity,max_speed,acceleration,deceleration,dwell_formula,capacity,max_speed_fps,route_short_name,route_long_name,route_type,mode,proof_of_payment,mode_num,mode_type,route_id_num,max_stop_seq,trip_departure_time,boards,alights,onboard,friction,standees,overcap,msa_boards,msa_alights,msa_onboard,msa_friction,msa_standees,msa_overcap
t1,898.0,898.0,B0,1,0.0,2015-06-30 14:58:00,2015-06-30 14:58:00,4,1,0 days 00:02:00.000000000,0 days 00:02:00.000000000,120.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 14:58:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t1,900.0,900.0,B1,2,0.1820440569632047,2015-06-30 15:00:00,2015-06-30 15:00:00,5,1,0 days 00:05:00.000000000,0 days 00:05:00.000000000,300.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 14:58:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t1,905.0,905.0,B2,3,0.8583490512733136,2015-06-30 15:05:00,2015-06-30 15:05:00,6,1,0 days 00:06:00.000000000,0 days 00:06:00.000000000,360.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 14:58:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t1,911.0,911.0,B3,4,1.590934364800046,2015-06-30 15:11:00,2015-06-30 15:11:00,7,1,0 days 00:02:00.000000000,0 days 00:02:00.000000000,120.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 14:58:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t1,913.0,913.0,B4,5,1.7325856023319244,2015-06-30 15:13:00,2015-06-30 15:13:00,8,1,,,,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 14:58:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t2,906.0,906.0,B0,1,0.0,2015-06-30 15:06:00,2015-06-30 15:06:00,4,2,0 days 00:02:00.000000000,0 days 00:02:00.000000000,120.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 15:06:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t2,908.0,908.0,B1,2,0.1820440569632047,2015-06-30 15:08:00,2015-06-30 15:08:00,5,2,0 days 00:05:00.000000000,0 days 00:05:00.000000000,300.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 15:06:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t2,913.0,913.0,B2,3,0.8583490512733136,2015-06-30 15:13:00,2015-06-30 15:13:00,6,2,0 days 00:06:00.000000000,0 days 00:06:00.000000000,360.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 15:06:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t2,919.0,919.0,B3,4,1.590934364800046,2015-06-30 15:19:00,2015-06-30 15:19:00,7,2,0 days 00:02:00.000000000,0 days 00:02:00.000000000,120.0,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 15:06:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
t2,921.0,921.0,B4,5,1.7325856023319244,2015-06-30 15:21:00,2015-06-30 15:21:00,8,2,,,,0 days 00:00:00.000000000,0.0,A,TNT,1,A,bus,5,5,25.0,3.4,4.0,3.323 + 2.343*[boards] + 1.619*[alights] + 0.093*[friction],10,36.666666666666664,Bus_A_Loc,Local Bus - A,3,local_bus,False,301,transit,1,5,2015-06-30 15:06:00,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0
